"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2005"	"2005"	331	5991057	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2006"	"2006"	329	6088766	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2007"	"2007"	293	6175727	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2008"	"2008"	319	6247411	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2009"	"2009"	372	6306019	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2010"	"2010"	315	6356628	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2011"	"2011"	322	6398389	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2012"	"2012"	334	6455177	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2013"	"2013"	387	6497269	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"1999"	"1999"	847	20558220	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2000"	"2000"	844	20944499	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2001"	"2001"	867	21319622	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2002"	"2002"	896	21690325	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2003"	"2003"	872	22030931	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2004"	"2004"	836	22394023	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2005"	"2005"	893	22773020	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2006"	"2006"	893	23359580	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2007"	"2007"	871	23831983	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2008"	"2008"	882	24309039	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2009"	"2009"	951	24801761	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2010"	"2010"	927	25245717	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2011"	"2011"	932	25657477	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2012"	"2012"	1041	26094422	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2013"	"2013"	1080	26505637	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"1999"	"1999"	85	2203482	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2000"	"2000"	82	2244502	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2001"	"2001"	72	2283715	3.2
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2002"	"2002"	86	2324815	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2003"	"2003"	86	2360137	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2004"	"2004"	80	2401580	3.3
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2005"	"2005"	88	2457719	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2006"	"2006"	108	2525507	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2007"	"2007"	91	2597746	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2008"	"2008"	101	2663029	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2009"	"2009"	92	2723421	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2010"	"2010"	82	2774346	3.0
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2011"	"2011"	110	2815324	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2012"	"2012"	113	2855194	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2013"	"2013"	120	2902787	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"1999"	"1999"	23	604683	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2000"	"2000"	26	609618	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2001"	"2001"	26	612223	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2002"	"2002"	31	615442	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2003"	"2003"	30	617858	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2004"	"2004"	27	619920	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2005"	"2005"	31	621215	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2006"	"2006"	34	622892	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2007"	"2007"	34	623481	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2008"	"2008"	33	624151	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2009"	"2009"	26	624817	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2010"	"2010"	46	625792	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2011"	"2011"	42	626450	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2012"	"2012"	45	626138	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2013"	"2013"	48	626855	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"1999"	"1999"	286	7000174	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2000"	"2000"	279	7105817	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2001"	"2001"	300	7198362	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2002"	"2002"	265	7286873	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2003"	"2003"	276	7366977	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2004"	"2004"	292	7475575	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2005"	"2005"	310	7577105	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2006"	"2006"	272	7673725	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2007"	"2007"	303	7751000	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2008"	"2008"	316	7833496	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2009"	"2009"	316	7925937	4.0
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2010"	"2010"	356	8025376	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2011"	"2011"	340	8110188	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2012"	"2012"	357	8193422	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2013"	"2013"	357	8270345	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"1999"	"1999"	336	5842564	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2000"	"2000"	322	5910512	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2001"	"2001"	331	5985722	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2002"	"2002"	323	6052349	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2003"	"2003"	342	6104115	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2004"	"2004"	335	6178645	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2005"	"2005"	347	6257305	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2006"	"2006"	333	6370753	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2007"	"2007"	316	6461587	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2008"	"2008"	365	6562231	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2009"	"2009"	346	6667426	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2010"	"2010"	378	6741911	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2011"	"2011"	382	6822112	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2012"	"2012"	386	6896325	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2013"	"2013"	374	6973742	5.4
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"1999"	"1999"	90	1811799	5.0
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2000"	"2000"	75	1807021	4.2
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2001"	"2001"	95	1801481	5.3
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2002"	"2002"	100	1805414	5.5
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2003"	"2003"	89	1812295	4.9
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2004"	"2004"	101	1816438	5.6
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2005"	"2005"	108	1820492	5.9
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2006"	"2006"	84	1827912	4.6
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2007"	"2007"	105	1834052	5.7
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2008"	"2008"	101	1840310	5.5
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2009"	"2009"	100	1847775	5.4
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2010"	"2010"	107	1854176	5.8
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2011"	"2011"	77	1854982	4.2
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2012"	"2012"	115	1856313	6.2
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2013"	"2013"	105	1853595	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"1999"	"1999"	253	5332666	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2000"	"2000"	269	5373999	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2001"	"2001"	262	5406835	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2002"	"2002"	267	5445162	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2003"	"2003"	269	5479203	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2004"	"2004"	246	5514026	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2005"	"2005"	282	5546166	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2006"	"2006"	271	5577655	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2007"	"2007"	278	5610775	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2008"	"2008"	332	5640996	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2009"	"2009"	306	5669264	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2010"	"2010"	293	5689268	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2011"	"2011"	355	5708785	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2012"	"2012"	293	5724888	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2013"	"2013"	328	5742953	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"1999"	"1999"	29	491780	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2000"	"2000"	26	494300	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2001"	"2001"	19	494657	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2002"	"2002"	17	500017	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2003"	"2003"	29	503453	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2004"	"2004"	28	509106	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2005"	"2005"	21	514157	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2006"	"2006"	23	522667	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2007"	"2007"	23	534876	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2008"	"2008"	23	546043	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2009"	"2009"	31	559851	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2010"	"2010"	31	564358	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2011"	"2011"	31	567631	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2012"	"2012"	30	576893	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2013"	"2013"	24	583223	4.1
	"Breast"	"26000"	"Alabama"	"01"	"1999"	"1999"	660	4430141	14.9
	"Breast"	"26000"	"Alabama"	"01"	"2000"	"2000"	697	4452173	15.7
	"Breast"	"26000"	"Alabama"	"01"	"2001"	"2001"	755	4467634	16.9
	"Breast"	"26000"	"Alabama"	"01"	"2002"	"2002"	690	4480089	15.4
	"Breast"	"26000"	"Alabama"	"01"	"2003"	"2003"	683	4503491	15.2
	"Breast"	"26000"	"Alabama"	"01"	"2004"	"2004"	657	4530729	14.5
	"Breast"	"26000"	"Alabama"	"01"	"2005"	"2005"	756	4565917	16.6
	"Breast"	"26000"	"Alabama"	"01"	"2006"	"2006"	663	4628981	14.3
	"Breast"	"26000"	"Alabama"	"01"	"2007"	"2007"	684	4672840	14.6
	"Breast"	"26000"	"Alabama"	"01"	"2008"	"2008"	694	4718206	14.7
	"Breast"	"26000"	"Alabama"	"01"	"2009"	"2009"	651	4757938	13.7
	"Breast"	"26000"	"Alabama"	"01"	"2010"	"2010"	700	4785822	14.6
	"Breast"	"26000"	"Alabama"	"01"	"2011"	"2011"	653	4801695	13.6
	"Breast"	"26000"	"Alabama"	"01"	"2012"	"2012"	703	4817484	14.6
	"Breast"	"26000"	"Alabama"	"01"	"2013"	"2013"	668	4833996	13.8
	"Breast"	"26000"	"Alaska"	"02"	"1999"	"1999"	42	624779	6.7
	"Breast"	"26000"	"Alaska"	"02"	"2000"	"2000"	61	627963	9.7
	"Breast"	"26000"	"Alaska"	"02"	"2001"	"2001"	47	633714	7.4
	"Breast"	"26000"	"Alaska"	"02"	"2002"	"2002"	47	642337	7.3
	"Breast"	"26000"	"Alaska"	"02"	"2003"	"2003"	55	648414	8.5
	"Breast"	"26000"	"Alaska"	"02"	"2004"	"2004"	45	659286	6.8
	"Breast"	"26000"	"Alaska"	"02"	"2005"	"2005"	47	666946	7.0
	"Breast"	"26000"	"Alaska"	"02"	"2006"	"2006"	74	675302	11.0
	"Breast"	"26000"	"Alaska"	"02"	"2007"	"2007"	69	680300	10.1
	"Breast"	"26000"	"Alaska"	"02"	"2008"	"2008"	48	687455	7.0
	"Breast"	"26000"	"Alaska"	"02"	"2009"	"2009"	72	698895	10.3
	"Breast"	"26000"	"Alaska"	"02"	"2010"	"2010"	60	713856	8.4
	"Breast"	"26000"	"Alaska"	"02"	"2011"	"2011"	57	722572	7.9
	"Breast"	"26000"	"Alaska"	"02"	"2012"	"2012"	59	731081	8.1
	"Breast"	"26000"	"Alaska"	"02"	"2013"	"2013"	62	737259	8.4
	"Breast"	"26000"	"Arizona"	"04"	"1999"	"1999"	693	5023823	13.8
	"Breast"	"26000"	"Arizona"	"04"	"2000"	"2000"	725	5160586	14.0
	"Breast"	"26000"	"Arizona"	"04"	"2001"	"2001"	698	5273477	13.2
	"Breast"	"26000"	"Arizona"	"04"	"2002"	"2002"	669	5396255	12.4
	"Breast"	"26000"	"Arizona"	"04"	"2003"	"2003"	679	5510364	12.3
	"Breast"	"26000"	"Arizona"	"04"	"2004"	"2004"	677	5652404	12.0
	"Breast"	"26000"	"Arizona"	"04"	"2005"	"2005"	690	5839077	11.8
	"Breast"	"26000"	"Arizona"	"04"	"2006"	"2006"	756	6029141	12.5
	"Breast"	"26000"	"Arizona"	"04"	"2007"	"2007"	739	6167681	12.0
	"Breast"	"26000"	"Arizona"	"04"	"2008"	"2008"	743	6280362	11.8
	"Breast"	"26000"	"Arizona"	"04"	"2009"	"2009"	724	6343154	11.4
	"Breast"	"26000"	"Arizona"	"04"	"2010"	"2010"	745	6411999	11.6
	"Breast"	"26000"	"Arizona"	"04"	"2011"	"2011"	758	6472867	11.7
	"Breast"	"26000"	"Arizona"	"04"	"2012"	"2012"	752	6556236	11.5
	"Breast"	"26000"	"Arizona"	"04"	"2013"	"2013"	849	6634997	12.8
	"Breast"	"26000"	"Arkansas"	"05"	"1999"	"1999"	405	2651860	15.3
	"Breast"	"26000"	"Arkansas"	"05"	"2000"	"2000"	381	2678588	14.2
	"Breast"	"26000"	"Arkansas"	"05"	"2001"	"2001"	396	2691571	14.7
	"Breast"	"26000"	"Arkansas"	"05"	"2002"	"2002"	420	2705927	15.5
	"Breast"	"26000"	"Arkansas"	"05"	"2003"	"2003"	393	2724816	14.4
	"Breast"	"26000"	"Arkansas"	"05"	"2004"	"2004"	422	2749686	15.3
	"Breast"	"26000"	"Arkansas"	"05"	"2005"	"2005"	411	2781097	14.8
	"Breast"	"26000"	"Arkansas"	"05"	"2006"	"2006"	414	2821761	14.7
	"Breast"	"26000"	"Arkansas"	"05"	"2007"	"2007"	461	2848650	16.2
	"Breast"	"26000"	"Arkansas"	"05"	"2008"	"2008"	386	2874554	13.4
	"Breast"	"26000"	"Arkansas"	"05"	"2009"	"2009"	418	2896843	14.4
	"Breast"	"26000"	"Arkansas"	"05"	"2010"	"2010"	415	2922297	14.2
	"Breast"	"26000"	"Arkansas"	"05"	"2011"	"2011"	391	2938430	13.3
	"Breast"	"26000"	"Arkansas"	"05"	"2012"	"2012"	447	2949300	15.2
	"Breast"	"26000"	"Arkansas"	"05"	"2013"	"2013"	412	2958765	13.9
	"Breast"	"26000"	"California"	"06"	"1999"	"1999"	4086	33499204	12.2
	"Breast"	"26000"	"California"	"06"	"2000"	"2000"	4283	33987977	12.6
	"Breast"	"26000"	"California"	"06"	"2001"	"2001"	4235	34479458	12.3
	"Breast"	"26000"	"California"	"06"	"2002"	"2002"	4174	34871843	12.0
	"Breast"	"26000"	"California"	"06"	"2003"	"2003"	4218	35253159	12.0
	"Breast"	"26000"	"California"	"06"	"2004"	"2004"	4230	35574576	11.9
	"Breast"	"26000"	"California"	"06"	"2005"	"2005"	4196	35827943	11.7
	"Breast"	"26000"	"California"	"06"	"2006"	"2006"	4214	36021202	11.7
	"Breast"	"26000"	"California"	"06"	"2007"	"2007"	4252	36250311	11.7
	"Breast"	"26000"	"California"	"06"	"2008"	"2008"	4231	36604337	11.6
	"Breast"	"26000"	"California"	"06"	"2009"	"2009"	4439	36961229	12.0
	"Breast"	"26000"	"California"	"06"	"2010"	"2010"	4265	37336011	11.4
	"Breast"	"26000"	"California"	"06"	"2011"	"2011"	4297	37701901	11.4
	"Breast"	"26000"	"California"	"06"	"2012"	"2012"	4508	38062780	11.8
	"Breast"	"26000"	"California"	"06"	"2013"	"2013"	4418	38431393	11.5
	"Breast"	"26000"	"Colorado"	"08"	"1999"	"1999"	489	4226018	11.6
	"Breast"	"26000"	"Colorado"	"08"	"2000"	"2000"	481	4326921	11.1
	"Breast"	"26000"	"Colorado"	"08"	"2001"	"2001"	470	4425687	10.6
	"Breast"	"26000"	"Colorado"	"08"	"2002"	"2002"	495	4490406	11.0
	"Breast"	"26000"	"Colorado"	"08"	"2003"	"2003"	509	4528732	11.2
	"Breast"	"26000"	"Colorado"	"08"	"2004"	"2004"	513	4575013	11.2
	"Breast"	"26000"	"Colorado"	"08"	"2005"	"2005"	526	4631888	11.4
	"Breast"	"26000"	"Colorado"	"08"	"2006"	"2006"	496	4720423	10.5
	"Breast"	"26000"	"Colorado"	"08"	"2007"	"2007"	459	4803868	9.6
	"Breast"	"26000"	"Colorado"	"08"	"2008"	"2008"	492	4889730	10.1
	"Breast"	"26000"	"Colorado"	"08"	"2009"	"2009"	517	4972195	10.4
	"Breast"	"26000"	"Colorado"	"08"	"2010"	"2010"	535	5048575	10.6
	"Breast"	"26000"	"Colorado"	"08"	"2011"	"2011"	558	5119661	10.9
	"Breast"	"26000"	"Colorado"	"08"	"2012"	"2012"	585	5191709	11.3
	"Breast"	"26000"	"Colorado"	"08"	"2013"	"2013"	537	5272086	10.2
	"Breast"	"26000"	"Connecticut"	"09"	"1999"	"1999"	549	3386401	16.2
	"Breast"	"26000"	"Connecticut"	"09"	"2000"	"2000"	543	3411777	15.9
	"Breast"	"26000"	"Connecticut"	"09"	"2001"	"2001"	598	3432835	17.4
	"Breast"	"26000"	"Connecticut"	"09"	"2002"	"2002"	556	3458749	16.1
	"Breast"	"26000"	"Connecticut"	"09"	"2003"	"2003"	534	3484336	15.3
	"Breast"	"26000"	"Connecticut"	"09"	"2004"	"2004"	556	3496094	15.9
	"Breast"	"26000"	"Connecticut"	"09"	"2005"	"2005"	535	3506956	15.3
	"Breast"	"26000"	"Connecticut"	"09"	"2006"	"2006"	542	3517460	15.4
	"Breast"	"26000"	"Connecticut"	"09"	"2007"	"2007"	512	3527270	14.5
	"Breast"	"26000"	"Connecticut"	"09"	"2008"	"2008"	500	3545579	14.1
	"Breast"	"26000"	"Connecticut"	"09"	"2009"	"2009"	509	3561807	14.3
	"Breast"	"26000"	"Connecticut"	"09"	"2010"	"2010"	504	3579345	14.1
	"Breast"	"26000"	"Connecticut"	"09"	"2011"	"2011"	492	3590537	13.7
	"Breast"	"26000"	"Connecticut"	"09"	"2012"	"2012"	492	3594362	13.7
	"Breast"	"26000"	"Connecticut"	"09"	"2013"	"2013"	456	3599341	12.7
	"Breast"	"26000"	"Delaware"	"10"	"1999"	"1999"	121	774990	15.6
	"Breast"	"26000"	"Delaware"	"10"	"2000"	"2000"	140	786373	17.8
	"Breast"	"26000"	"Delaware"	"10"	"2001"	"2001"	123	795699	15.5
	"Breast"	"26000"	"Delaware"	"10"	"2002"	"2002"	112	806169	13.9
	"Breast"	"26000"	"Delaware"	"10"	"2003"	"2003"	119	818003	14.5
	"Breast"	"26000"	"Delaware"	"10"	"2004"	"2004"	132	830803	15.9
	"Breast"	"26000"	"Delaware"	"10"	"2005"	"2005"	120	845150	14.2
	"Breast"	"26000"	"Delaware"	"10"	"2006"	"2006"	111	859268	12.9
	"Breast"	"26000"	"Delaware"	"10"	"2007"	"2007"	140	871749	16.1
	"Breast"	"26000"	"Delaware"	"10"	"2008"	"2008"	132	883874	14.9
	"Breast"	"26000"	"Delaware"	"10"	"2009"	"2009"	115	891730	12.9
	"Breast"	"26000"	"Delaware"	"10"	"2010"	"2010"	132	899731	14.7
	"Breast"	"26000"	"Delaware"	"10"	"2011"	"2011"	129	907829	14.2
	"Breast"	"26000"	"Delaware"	"10"	"2012"	"2012"	136	916881	14.8
	"Breast"	"26000"	"Delaware"	"10"	"2013"	"2013"	133	925240	14.4
	"Breast"	"26000"	"District of Columbia"	"11"	"1999"	"1999"	118	570213	20.7
	"Breast"	"26000"	"District of Columbia"	"11"	"2000"	"2000"	96	572046	16.8
	"Breast"	"26000"	"District of Columbia"	"11"	"2001"	"2001"	129	574504	22.5
	"Breast"	"26000"	"District of Columbia"	"11"	"2002"	"2002"	111	573158	19.4
	"Breast"	"26000"	"District of Columbia"	"11"	"2003"	"2003"	98	568502	17.2
	"Breast"	"26000"	"District of Columbia"	"11"	"2004"	"2004"	90	567754	15.9
	"Breast"	"26000"	"District of Columbia"	"11"	"2005"	"2005"	95	567136	16.8
	"Breast"	"26000"	"District of Columbia"	"11"	"2006"	"2006"	96	570681	16.8
	"Breast"	"26000"	"District of Columbia"	"11"	"2007"	"2007"	108	574404	18.8
	"Breast"	"26000"	"District of Columbia"	"11"	"2008"	"2008"	94	580236	16.2
	"Breast"	"26000"	"District of Columbia"	"11"	"2009"	"2009"	99	592228	16.7
	"Breast"	"26000"	"District of Columbia"	"11"	"2010"	"2010"	100	605210	16.5
	"Breast"	"26000"	"District of Columbia"	"11"	"2011"	"2011"	89	620427	14.3
	"Breast"	"26000"	"District of Columbia"	"11"	"2012"	"2012"	109	635040	17.2
	"Breast"	"26000"	"District of Columbia"	"11"	"2013"	"2013"	108	649111	16.6
	"Breast"	"26000"	"Florida"	"12"	"1999"	"1999"	2604	15759421	16.5
	"Breast"	"26000"	"Florida"	"12"	"2000"	"2000"	2684	16047515	16.7
	"Breast"	"26000"	"Florida"	"12"	"2001"	"2001"	2591	16356966	15.8
	"Breast"	"26000"	"Florida"	"12"	"2002"	"2002"	2682	16689370	16.1
	"Breast"	"26000"	"Florida"	"12"	"2003"	"2003"	2621	17004085	15.4
	"Breast"	"26000"	"Florida"	"12"	"2004"	"2004"	2785	17415318	16.0
	"Breast"	"26000"	"Florida"	"12"	"2005"	"2005"	2714	17842038	15.2
	"Breast"	"26000"	"Florida"	"12"	"2006"	"2006"	2674	18166990	14.7
	"Breast"	"26000"	"Florida"	"12"	"2007"	"2007"	2669	18367842	14.5
	"Breast"	"26000"	"Florida"	"12"	"2008"	"2008"	2745	18527305	14.8
	"Breast"	"26000"	"Florida"	"12"	"2009"	"2009"	2805	18652644	15.0
	"Breast"	"26000"	"Florida"	"12"	"2010"	"2010"	2894	18852220	15.4
	"Breast"	"26000"	"Florida"	"12"	"2011"	"2011"	2867	19107900	15.0
	"Breast"	"26000"	"Florida"	"12"	"2012"	"2012"	2872	19355257	14.8
	"Breast"	"26000"	"Florida"	"12"	"2013"	"2013"	2819	19600311	14.4
	"Breast"	"26000"	"Georgia"	"13"	"1999"	"1999"	1016	8045965	12.6
	"Breast"	"26000"	"Georgia"	"13"	"2000"	"2000"	1017	8227303	12.4
	"Breast"	"26000"	"Georgia"	"13"	"2001"	"2001"	1019	8377038	12.2
	"Breast"	"26000"	"Georgia"	"13"	"2002"	"2002"	1050	8508256	12.3
	"Breast"	"26000"	"Georgia"	"13"	"2003"	"2003"	1114	8622793	12.9
	"Breast"	"26000"	"Georgia"	"13"	"2004"	"2004"	1145	8769252	13.1
	"Breast"	"26000"	"Georgia"	"13"	"2005"	"2005"	1070	8925922	12.0
	"Breast"	"26000"	"Georgia"	"13"	"2006"	"2006"	1129	9155813	12.3
	"Breast"	"26000"	"Georgia"	"13"	"2007"	"2007"	1103	9349988	11.8
	"Breast"	"26000"	"Georgia"	"13"	"2008"	"2008"	1121	9504843	11.8
	"Breast"	"26000"	"Georgia"	"13"	"2009"	"2009"	1257	9620846	13.1
	"Breast"	"26000"	"Georgia"	"13"	"2010"	"2010"	1240	9714464	12.8
